IA category,Subcategory,Sub-subcategory,Page,Current URL,Final URL,Original backend source,New backend source,Platform specific,Version switcher,Classic or Samsara?,Samsara-related,New or existing?,Update/Needed for preview launch?,Deprecation path,Notes
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/android/start/,N/A,src/pages/[platform]/start/index.mdx,Android,No,Classic,No,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/angular/start/,N/A,src/pages/[platform]/start/index.mdx,Angular,No,Classic,Yes,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/flutter/start/,N/A,src/pages/[platform]/start/index.mdx,Flutter,No,Classic,No,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/javascript/start/,N/A,src/pages/[platform]/start/index.mdx,JavaScript (web),No,Classic,Yes,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/nextjs/start/,N/A,src/pages/[platform]/start/index.mdx,Next.js,No,Classic,Yes,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/react/start/,N/A,src/pages/[platform]/start/index.mdx,React,No,Classic,Yes,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/react-native/start/,N/A,src/pages/[platform]/start/index.mdx,React Native,No,Classic,No,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/swift/start/,N/A,src/pages/[platform]/start/index.mdx,Swift,No,Classic,No,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Overview,N/A - No redirect needed - example final URL -->,https://docs.amplify.aws/vue/start/,N/A,src/pages/[platform]/start/index.mdx,Vue,No,Classic,Yes,New,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,N/A,N/A,Getting started with Gen2,https://vnext.awsamplifyconsole.com/docs/guides/introduction/getting-started,https://docs.amplify.aws/gen2/start/getting-started/,docs/docs/guides/00_introduction/getting-started.mdx,src/pages/gen2/start/index.mdx,JavaScript (web),No,Samsara,Yes,New,Yes,No,Updated new folder location so leaves option to add more sub-pages later if needed; note that there should be a path to find this page from all JS-friendly getting started platform pages with a banner.
